subject,task,n_sessions,linear_a,linear_b,linear_rss,linear_bic,satexp_a,satexp_b,satexp_rss,satexp_bic,sigmoid_a,sigmoid_b,sigmoid_c,sigmoid_rss,sigmoid_bic,best_model,delta_bic_nonlin
1,T1,5,-0.1290712183712726,0.15086406352642978,0.9690177392415693,-4.985675539842761,4.999999999999999,0.02387626888841725,0.9960669590925589,-4.848017715565614,1.1189188356375022,9.999999999999927,4.096368709777076,0.3727970994075268,-8.152480708669097,sigmoidal,3.166805168826336
2,T1,5,0.5315982769097342,-0.3370009035864845,1.0838825025863228,-4.4255662138296685,-4.999999999999985,0.04131529836750339,1.3592230962663048,-3.2937473184243937,-0.8419004933176704,9.999999671125499,2.013601546878777,1.0884546273087508,-2.7950812391754027,linear,-1.1318188954052748
3,T1,5,1.1880543340809315,-0.2662906238125272,5.383554548362564,3.588430526354541,0.38917941188587657,9.999999999917732,6.092687144106294,4.207132378568257,0.7635247013198505,0.010000000000000004,0.5000000043548334,6.102897789352666,5.824942704205889,linear,-0.6187018522137162
4,T1,5,-0.5127731002029535,0.20767211081131168,0.6514678841854038,-6.9709496314007655,4.999999998719133,0.013912937635085264,0.8912149906871768,-5.4041616831101145,0.3348391917439126,9.997278365554282,1.617873331462211,0.6998021634731054,-5.003663862339005,linear,-1.566787948290651
5,T1,5,0.5344228333328753,0.03388753757732385,1.9552585249851682,-1.4757016246085422,0.6360849354013227,9.99999999999886,1.966782169405891,-1.44631978367531,1.5585519900451912,0.1259898391461784,5.999999999999999,1.9523931183682268,0.12640347673582752,linear,-0.02938184093323226
6,T1,5,0.10950952371237599,-0.08826244786205475,3.137532384088291,0.8888693928297027,-0.26979712459129657,0.5897563457790302,3.1114982170952823,0.8472080228081009,-0.4225345744758354,9.997968818907431,1.5040400727034255,2.624323022733845,1.605239008538181,saturation_exp,0.04166137002160175
7,T1,5,0.5936262340355823,-0.27129113330704835,1.745190017847686,-2.043996524925323,-4.999999999998443,0.022638632265723612,2.0729838809432426,-1.1833684487591882,-4.999999999993931,1.9944702225613968,5.741132956472044,1.837816315322515,-0.17598541645362964,linear,-0.8606280761661349
8,T1,5,-0.16339452813151947,-0.05028701793011147,0.621828860341244,-7.203765578542114,-4.999999999999999,0.019613991339486162,0.6491896258812656,-6.988465853900081,-0.8486753608035098,9.999999999999996,4.169819343318174,0.40376950659180266,-7.753431285229519,sigmoidal,0.5496657066874047
9,T1,5,-0.04344690689891633,0.029031140981266856,0.8344059157134301,-5.7334901649998535,0.14023256115117247,0.174258932120996,0.835289799778784,-5.7281964810087125,0.25070625124326973,9.997608735244347,3.4203152211646617,0.7270187729377975,-4.812890721413767,linear,-0.005293683991141052
1,T2,5,-0.5925427408453924,0.24337718931488306,1.3638708740343688,-3.276679298253168,4.9999999998755715,0.016569360667777457,1.6904303146327933,-2.2033981344680265,0.5534894770819386,9.999999999999998,2.8749209593971923,1.252994954331018,-2.0911925796925654,linear,-1.0732811637851416
2,T2,5,-0.33111008619993787,0.1834025590383931,0.7234824975528327,-6.446708360105982,4.999999999888531,0.019214077160890377,0.8266183728830246,-5.780374487788773,0.5430356971218624,9.999205489580026,2.5891185566823793,0.4246587381320755,-7.501222833423629,sigmoidal,1.0545144733176475
3,T2,5,0.7258991315076685,-0.17250391300312964,1.3656164810307727,-3.2702839316245114,0.20838731292126156,9.999999999062258,1.6631965992595834,-2.2846066729905234,0.4082455270991401,0.010000000000000203,0.5000000659987934,1.6667378127535615,-0.6645342723330234,linear,-0.9856772586339879
4,T2,5,-0.04282408465608888,-0.06650796501598276,0.23148070235993434,-12.144607577636135,-0.363223965014696,0.49230526742241515,0.21104718832274,-12.606681383152637,-0.34497261172303006,9.999466941422224,1.4935584401302522,0.09483602100977506,-14.996905692034959,sigmoidal,2.852298114398824
5,T2,5,-0.9393409150237575,0.16654601565898633,4.660031051270781,2.866796820088614,-0.5018164492310104,1.1889544104149425,4.839221877361096,3.055455956015336,4.998203508749361,9.999999999999998,5.122454860707017,4.615206149879902,4.427906857566472,linear,-0.18865913592672223
6,T2,5,0.4007916150054424,-0.11940431436669338,1.838617235892479,-1.7832448029563426,-1.011103976732318,0.010000000000000002,1.9848573308021809,-1.4005785477781774,-1.739254220798483,9.997953228890948,5.138078235467362,1.8681164847936647,-0.0942223454229163,linear,-0.3826662551781652
7,T2,5,0.05180047035140176,0.01409594367275753,1.5133230916242268,-2.7567739587370164,2.8692944023023266,0.010000000000503186,1.5160986927182993,-2.747611808107884,4.999996279375923,9.99992768112279,5.249896628251508,1.4154307841456641,-1.4817061955944144,linear,-0.00916215062913217
8,T2,5,-0.29299376701202623,0.03970443122426379,2.7947287618290297,0.3103615518459808,-0.2115087617191642,1.1746978827134822,2.773147027640659,0.2716001945730975,-0.12311240060626824,9.981402585656594,3.5183457810696446,2.9315960458598775,2.15885917647838,saturation_exp,0.03876135727288332
9,T2,5,-0.802405714900171,0.3124145736454871,1.0248139291016565,-4.705758419664361,4.999999999982652,0.01933373173488079,1.613208035281251,-2.4371899124895493,0.46995573138220686,9.999999999999607,1.89994481800121,1.3111091578857588,-1.8645085029375021,linear,-2.268568507174812
