step,r2,r2_adj,delta_r2,f_change,p_fchange,n_predictors,dataset,task
Step 1: Contralateral ERD slope,0.36255335268678246,0.34772901205159135,0.36255335268678246,24.456625870166985,1.210370703708108e-05,1,BNCI2014_004,T1
Step 2: + ERD selectivity,0.7227278615030069,0.7095244263364835,0.3601745088162245,54.5576971861725,4.093553496176128e-09,2,BNCI2014_004,T1
Step 3: + Imaginary coherence,0.7440062606212771,0.7252750113984436,0.02127839911827012,3.4079519521311625,0.07211135538836155,3,BNCI2014_004,T1
Step 1: Contralateral ERD slope,0.35533332644500126,0.340341078222792,0.35533332644500126,23.70113682607097,1.5559346803195595e-05,1,BNCI2014_004,T2
Step 2: + ERD selectivity,0.630494740922192,0.6128992523946774,0.2751614144771908,31.27635973811259,1.5282386578441276e-06,2,BNCI2014_004,T2
Step 3: + Imaginary coherence,0.680215960056992,0.6568171278660402,0.04972121913479999,6.374833418484907,0.015538698876450763,3,BNCI2014_004,T2
Step 1: Contralateral ERD slope,0.18315362360613807,0.16681669607826077,0.18315362360613807,11.211020144002338,0.0015516301340118277,1,Cho2017,T1
Step 2: + ERD selectivity,0.7642364605668668,0.7546134589573511,0.5810828369607287,120.76956038043863,7.882583474838611e-15,2,Cho2017,T1
Step 3: + Imaginary coherence,0.7668445953468577,0.7522723825560362,0.0026081347799908894,0.5369400277287351,0.46726707350919117,3,Cho2017,T1
Step 1: Contralateral ERD slope,0.04027909380504269,0.021084675681143472,0.04027909380504269,2.0984795446802744,0.15368832637076446,1,Cho2017,T2
Step 2: + ERD selectivity,0.4530810130405518,0.4307577890830233,0.41280191923550913,36.984077212224705,1.752815957933862e-07,2,Cho2017,T2
Step 3: + Imaginary coherence,0.47661047524140265,0.4438986299439903,0.023529462200850837,2.1578845815872207,0.14836364018146464,3,Cho2017,T2
Step 1: Contralateral ERD slope,0.3159393521869551,0.30168808869085006,0.3159393521869551,22.16921694510118,2.1595328470125352e-05,1,Liu2024,T1
Step 2: + ERD selectivity,0.6522156129628978,0.6374162773442977,0.33627626077594264,45.4447779876421,2.018829203809247e-08,2,Liu2024,T1
Step 3: + Imaginary coherence,0.6525055558510376,0.629842874710888,0.00028994288813988245,0.03838154272393831,0.8455418822318769,3,Liu2024,T1
Step 1: Contralateral ERD slope,0.4476899408171373,0.43618348125082773,0.4476899408171373,38.90770555766362,1.085959068225506e-07,1,Liu2024,T2
Step 2: + ERD selectivity,0.892777472189586,0.8882148114316961,0.4450875313724487,195.09998879613548,0.0,2,Liu2024,T2
Step 3: + Imaginary coherence,0.8931254364993553,0.8861553562710524,0.0003479643097692442,0.14976770641302944,0.7005421095938562,3,Liu2024,T2
Step 1: Contralateral ERD slope,0.13715766913219785,0.1290176471428789,0.13715766913219785,16.849790984861265,7.972552396284804e-05,1,PhysionetMI,T1
Step 2: + ERD selectivity,0.6493858050958055,0.6427074394785827,0.5122281359636076,153.39924925422739,0.0,2,PhysionetMI,T1
Step 3: + Imaginary coherence,0.6496238723434707,0.6395168686610708,0.00023806724766528564,0.07066404301796707,0.7908986340900527,3,PhysionetMI,T1
Step 1: Contralateral ERD slope,0.10986013603337152,0.10146259014689396,0.10986013603337152,13.08240973238107,0.0004582208450846226,1,PhysionetMI,T2
Step 2: + ERD selectivity,0.6348799769614787,0.627925309855983,0.5250198409281072,150.98345699774228,0.0,2,PhysionetMI,T2
Step 3: + Imaginary coherence,0.6411127250157289,0.6307602074681057,0.006232748054250226,1.806154307561984,0.18189483432708042,3,PhysionetMI,T2
